address,postcode,latitude,longitude,restaurant_count,restaurant_rating,restaurant_price,arts_count,grocery_count,walk,transit,bike
536 N Meadowcroft Ave,15216,40.392864,-80.04979,33,3.45,1.666666667,6,3,57,44,
304 Brookside Blvd,15241,40.33967,-80.06311,13,3.038461538,1.727272727,1,2,28,51,10
1226 Love St,15218,40.42011,-79.903175,10,3.6,1.111111111,5,1,84,51,77
892 Lovingston Dr,15216,40.38687,-80.03441,30,3.5,1.533333333,6,2,53,45,29
84 Woodhaven Dr,15228,40.365715,-80.05225,14,3.714285714,2,2,1,24,19,
339 Quincy Ave,15210,40.40661,-79.98699,13,3.076923077,1.111111111,1,1,65,48,29
211 Lytton Ave,15213,40.447052,-79.95689,127,3.55,1.176470588,19,7,82,71,51
2034 Swallow Hill Rd #305,15220,40.398804,-80.077675,39,3.45,1.666666667,2,3,18,38,13
305 Cypress Hill Dr,15235,40.483402,-79.78509,12,3.5,1.4,,1,36,27,13
4440 Brownsville Rd,15236,40.36214,-79.98972,18,3.583333333,1.285714286,4,4,43,43,
111 Grandview Ave #301,15211,40.431595,-80.00712,158,3.5,1.631578947,20,4,80,82,57
22 Wynne Ave,15205,40.443268,-80.07414,22,3.85,1.333333333,3,1,57,45,57
1403 Jeffers St,15204,40.45184,-80.06581,4,3,1.25,0,1,46,43,20
1712 Worcester Dr,15243,40.368866,-80.08165,3,4.166666667,1.666666667,,,26,29,
3950 Howley St,15224,40.46341,-79.95769,87,3.65,1.5625,20,6,87,60,66
108 Lavern St,15235,40.461235,-79.85806,4,3.125,2,,1,40,35,
2257 Shady Ave,15217,40.43161,-79.91824,60,3.9,1.529411765,5,8,82,52,71
69 Waterfront Dr,15222,40.461124,-79.9804,63,3.975,1.866666667,17,11,40,57,61
3014 Wiggins St,15219,40.45719,-79.96965,26,4.075,1.9375,17,3,71,62,34
1849 Jancey St,15206,40.487076,-79.92561,34,3.525,1.818181818,0,3,49,44,28
315 Lupine Dr,15209,40.500587,-79.96266,9,4.5,2,0,0,10,24,4
143 Shadowlawn Dr,15236,40.371925,-79.99567,6,2.916666667,1,2,2,32,47,12
1003 Wingate Dr,15205,40.446133,-80.11311,0,0,0,0,,7,21,3
220 Gass Rd,15229,40.52643,-80.05744,4,3.75,1.25,,3,4,0,2
2484 Huntington Dr,15241,40.318996,-80.08463,6,4.416666667,2,1,0,17,0,4
2603 Espy Ave,15216,40.399944,-80.031105,34,3.625,1.277777778,2,5,61,48,30
1706 Jasmine Ct,15237,40.589916,-80.08537,1,3.5,2,,,15,28,14
202 Weyman Rd,15236,40.370773,-79.997826,11,2.954545455,1.444444444,1,1,29,47,15
1281 Bellerock St,15217,40.44232,-79.92917,72,3.875,1.473684211,15,5,59,58,61
268 Cascade Rd,15221,40.425747,-79.86556,5,3.7,1.5,,2,31,32,
1433 Rockland Ave,15216,40.412125,-80.01988,6,4.083333333,1,,1,55,58,24
311 Forest Ave,15202,40.508614,-80.08282,3,4.166666667,1.666666667,1,,33,34,37
1719 Crestline Dr,15221,40.450237,-79.87686,22,4.225,1.666666667,1,3,41,55,19
126 Oakbrook Cir,15220,40.431396,-80.04565,10,3.15,1.25,1,2,48,33,29
1750 Sillview Dr,15243,40.36518,-80.08087,3,4.166666667,1.666666667,0,,17,26,6
262 Jacks Run Rd,15214,40.501064,-80.03856,3,4,1.666666667,0,1,13,35,
1735 Fallowfield Ave,15216,40.407635,-80.0234,17,3.676470588,1.230769231,0,1,46,50,34
252 Roycroft Ave,15234,40.36684,-80.03879,14,3.428571429,1.615384615,1,1,48,49,17
4046 Cabinet St,15224,40.46407,-79.95558,94,3.675,1.5625,20,6,92,61,90
1156 1/2 South Ave,15221,40.438797,-79.87622,20,4.2,1.727272727,2,4,61,58,35
3054 Grassmere Ave,15216,40.39711,-80.041985,44,3.475,1.352941176,3,4,77,47,39
1129 Tall Trees Dr,15241,40.338207,-80.09453,1,4,2,0,,4,13,
108 Crescent Hills Rd,15235,40.473442,-79.82257,25,3.125,1.2,1,3,33,28,24
518 Farndale Rd,15238,40.52445,-79.916885,0,0,0,,,0,0,
113 James Pl,15228,40.365223,-80.06022,8,3.1875,1.714285714,2,0,11,22,
228 Charleston Dr,15235,40.467323,-79.802475,0,0,0,,,2,20,1
1987 Centurion Dr #402,15221,40.42273,-79.8534,18,3.555555556,1.538461538,0,3,40,40,17
2434 Smallman St #521,15222,40.454273,-79.98053,68,3.95,1.933333333,20,10,78,61,83
1014 Harrison St,15234,40.35388,-80.03351,9,3.444444444,1.666666667,1,1,28,54,18
113 Marwood Dr,15241,40.32685,-80.066414,1,3.5,2,1,1,30,29,11
4155 Steiger St,15234,40.357754,-80.027176,29,3.775,1.529411765,1,1,47,55,
