address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
7726 Stanton Ave,https://www.trulia.com/p/pa/pittsburgh/7726-stanton-ave-pittsburgh-pa-15218--2014160521,3,1,"1,737","['Last Sold: Jun 10, 2019', '11% below list $69.9K']",0,0,0,0,0,Single Family Home,"10,202 sqft",1925,6,Other,,,,,,2,Brick,Shake Shingle,63000
630 S Linden Ave,https://www.trulia.com/p/pa/pittsburgh/630-s-linden-ave-pittsburgh-pa-15208--2089357434,6,3,"3,633","['Last Sold: Jun 10, 2019', '11% below list $1.7M']",0,0,0,0,0,Single Family Home,0.28 acres,1910,12,Other,,,,,,2,Brick,Shake Shingle,1525000
3229 Longwood Dr,https://www.trulia.com/p/pa/pittsburgh/3229-longwood-dr-pittsburgh-pa-15227--2014211057,3,1,"1,890","['Last Sold: Jun 10, 2019', '5% over list $200K']",0,0,0,0,0,Single Family Home,"8,400 sqft",1950,,,,,,,,,,,209500
536 Oxford Blvd,https://www.trulia.com/p/pa/pittsburgh/536-oxford-blvd-pittsburgh-pa-15243--2014310086,3,1,"1,835","['Last Sold: Jun 10, 2019', '3% over list $280K']",0,0,0,0,0,Single Family Home,"8,183 sqft",1940,7,Other,,Central,Attached Garage,1,CapeCod,,Brick,Slate,287500
3414 Lockridge Rd,https://www.trulia.com/p/pa/pittsburgh/3414-lockridge-rd-pittsburgh-pa-15234--2014235387,3,1,"1,163","['Last Sold: Jun 10, 2019', '4% over list $180K']",0,0,0,0,0,Single Family Home,"9,100 sqft",1956,6,Other,,Central,Attached Garage,1,CapeCod,1,Brick,Shake Shingle,186500
171 S 15th St #103,https://www.trulia.com/p/pa/pittsburgh/171-s-15th-st-103-pittsburgh-pa-15203--2089352929,0,1,920,"['Last Sold: Jun 10, 2019', '6% below list $210K']",0,0,0,0,0,Condo,920 sqft,1898,,Forced Air,Gas,Central,,,,,,,199000
306 Knollview Dr,https://www.trulia.com/p/pa/pittsburgh/306-knollview-dr-pittsburgh-pa-15239--2014293719,3,1,"1,293","['Last Sold: Jun 10, 2019', '5% below list $210K']",0,0,0,0,0,Single Family Home,0.48 acres,1956,,Forced Air,Gas,Central,,,,,,,200000
738 Bellaire Ave,https://www.trulia.com/p/pa/pittsburgh/738-bellaire-ave-pittsburgh-pa-15226--1016627058,4,1,"3,240","['Last Sold: Jun 10, 2019', '']",1,1,0,0,1,Single Family Home,"4,800 sqft",1900,11,Forced Air,Gas,Central,Off Street,,Victorian,3,Brick Vinyl,Asphalt,275000
100 McConnells Mill Ln,https://www.trulia.com/p/pa/pittsburgh/100-mcconnells-mill-ln-pittsburgh-pa-15228--2014216387,4,2,"3,613","['Last Sold: Jun 10, 2019', '1% below list $625K']",0,0,0,0,0,Single Family Home,"9,688 sqft",1989,,,,,,,,,,,620000
1822 Worcester Dr,https://www.trulia.com/p/pa/pittsburgh/1822-worcester-dr-pittsburgh-pa-15243--2014308633,3,1,"1,659","['Last Sold: Jun 10, 2019', '2% over list $220K']",0,0,0,0,0,Single Family Home,"9,767 sqft",1955,,Heat Pump,Gas,Central,,,,,,,225000
464 Salem Dr,https://www.trulia.com/p/pa/pittsburgh/464-salem-dr-pittsburgh-pa-15243--2014309751,3,2,"1,380","['Last Sold: Jun 10, 2019', '2% over list $300K']",0,0,0,0,0,Single Family Home,"6,250 sqft",1942,,Forced Air,Gas,Central,,,,,,,304500
3036 Earlsmere Ave,https://www.trulia.com/p/pa/pittsburgh/3036-earlsmere-ave-pittsburgh-pa-15216--2014144032,3,2,"1,721","['Last Sold: Jun 10, 2019', '2% over list $230K']",1,1,1,1,1,Single Family Home,"4,400 sqft",1928,8,Other,Gas,None,"Attached Garage, Off Street",2,Colonial,2,Brick,Tile,235000
4822 Gardenville Rd,https://www.trulia.com/p/pa/pittsburgh/4822-gardenville-rd-pittsburgh-pa-15236--2014261567,3,1,"1,105","['Last Sold: Jun 10, 2019', '7% over list $155K']",1,0,0,0,1,Single Family Home,"9,435 sqft",1950,7,Other,Gas,Central,Attached Garage,1,Ranch,1,Brick,Asphalt,165900
1670 New Haven Ave,https://www.trulia.com/p/pa/pittsburgh/1670-new-haven-ave-pittsburgh-pa-15216--2014140736,3,1,"1,520","['Last Sold: Jun 10, 2019', '2% over list $250K']",1,1,0,0,1,Single Family Home,"3,500 sqft",1920,6,Forced Air,Gas,Central,Off Street,2,Colonial,2,Brick,Slate,255000
30 Charnwood Dr,https://www.trulia.com/p/pa/pittsburgh/30-charnwood-dr-pittsburgh-pa-15235--2014248105,3,1,"1,018","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,,1955,5,Central,,,Attached Garage,1,,1,Other,Shingle (Not Wood),46500
28 Nocklyn Dr,https://www.trulia.com/p/pa/pittsburgh/28-nocklyn-dr-pittsburgh-pa-15237--2014275874,3,1.5,"1,350","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,0.44 acres,1955,6,Other,,,Attached Garage,1,CapeCod,,Brick,Shake Shingle,171100
5048 Dolores Dr,https://www.trulia.com/p/pa/pittsburgh/5048-dolores-dr-pittsburgh-pa-15227--2014214825,4,2.5,"2,073","['Last Sold: Jun 7, 2019', '3% below list $320K']",0,0,0,0,0,Single Family Home,"9,100 sqft",1988,9,Other,,Central,,,Contemporary,2,Brick,Shake Shingle,312000
2818 Spring St,https://www.trulia.com/p/pa/pittsburgh/2818-spring-st-pittsburgh-pa-15210--2014095969,3,1,"1,708","['4bd', '2ba']",0,0,0,0,0,Single Family Home,,1900,6,Central,,,,,,2,Other,Shingle (Not Wood),
130 Danube Dr,https://www.trulia.com/p/pa/pittsburgh/130-danube-dr-pittsburgh-pa-15209--2014084762,3,1.5,"1,694","['Last Sold: Jun 7, 2019', '2% below list $190K']",0,0,0,0,0,Single Family Home,"9,100 sqft",1960,7,Other,,Central,Attached Garage,2,,1,Brick,Shake Shingle,186900
807 Brookline Blvd,https://www.trulia.com/p/pa/pittsburgh/807-brookline-blvd-pittsburgh-pa-15226--2014204606,4,2,"2,438","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Multi Family,,1932,8,Central,,,,,,2,Brick,Shingle (Not Wood),150000
3922 Brentwood Rd,https://www.trulia.com/p/pa/pittsburgh/3922-brentwood-rd-pittsburgh-pa-15236--2014259623,3,2,"1,640","['Last Sold: Jun 7, 2019', '28% below list $75K']",0,0,0,0,0,Single Family Home,0.37 acres,1960,6,Other,,,,2,,2,,,58750
2833 McKelvey Rd,https://www.trulia.com/p/pa/pittsburgh/2833-mckelvey-rd-pittsburgh-pa-15221--2014182567,3,1.5,"1,521","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,"6,210 sqft",1948,7,Other,,Central,Attached Garage,1,CapeCod,1,Brick,Shake Shingle,99000
236 Winston St,https://www.trulia.com/p/pa/pittsburgh/236-winston-st-pittsburgh-pa-15207--2014072906,3,1,"1,034","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,,1895,6,Central,,,,,,2,Masonry,Shingle (Not Wood),29000
3637 Oakleaf Rd,https://www.trulia.com/p/pa/pittsburgh/3637-oakleaf-rd-pittsburgh-pa-15227--2014212315,2,1.5,"1,265","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,"7,000 sqft",1951,5,,,,,,,1,,,169900
3230 Apache Rd,https://www.trulia.com/p/pa/pittsburgh/3230-apache-rd-pittsburgh-pa-15241--2014305325,3,2,"1,642","['Last Sold: Jun 7, 2019', '99% over list $2.72K']",0,0,0,0,0,Single Family Home,0.33 acres,1901,,,,,,,,2,,,205000
2112 Chalfant St,https://www.trulia.com/p/pa/pittsburgh/2112-chalfant-st-pittsburgh-pa-15221--2014181182,2,1,956,"['Last Sold: Jun 7, 2019', '4% below list $62.5K']",0,1,0,1,1,Single Family Home,"4,440 sqft",1933,5,Forced Air,Gas,,Attached Garage,1,Colonial,2,Brick,Shake Shingle,60000
174 N Sprague Ave,https://www.trulia.com/p/pa/pittsburgh/174-n-sprague-ave-pittsburgh-pa-15202--2089351481,3,1,"1,336","['Last Sold: Jun 7, 2019', '7% below list $150K']",0,0,0,0,0,Single Family Home,"4,219 sqft",1930,6,Other,,,,,,2,Stone,Shake Shingle,140000
9443 Almar Pl,https://www.trulia.com/p/pa/pittsburgh/9443-almar-pl-pittsburgh-pa-15237--2014283643,3,2.5,"1,332","['Last Sold: Jun 7, 2019', '']",0,0,0,0,0,Single Family Home,0.3 acres,1962,6,Forced Air,Gas,Central,Attached Garage,2,,1,,Asphalt,287300
187 Morrison Dr #21,https://www.trulia.com/p/pa/pittsburgh/187-morrison-dr-21-pittsburgh-pa-15216--2014141456,0,1,938,"['Last Sold: Jun 7, 2019', '13% over list $55K']",0,0,0,0,0,Condo,938 sqft,1930,,,,,,,,,,,63500
3521 Ridgewood Dr,https://www.trulia.com/p/pa/pittsburgh/3521-ridgewood-dr-pittsburgh-pa-15235--2014249382,4,2.5,"1,624","['Last Sold: Jun 7, 2019', '1% below list $230K']",0,0,0,0,0,Single Family Home,0.49 acres,1957,7,Other,,,Attached Garage,2,Ranch,1,Stone,Shake Shingle,226570
204 Toura Dr,https://www.trulia.com/p/pa/pittsburgh/204-toura-dr-pittsburgh-pa-15236--2014257334,4,2.5,"1,872","['as of Dec 10, 2019', 'as of Dec 10, 2019']",0,0,0,0,0,Single Family Home,,1970,8,Central,,,Attached Garage,2,,2,Masonry,Shingle (Not Wood),242069
