address,link,number_beds,number_baths,area,sold information,dishwasher,microwave,washer,dryer,refrigerator,building_type,lot_size,built_year,number_of_rooms,heating_system,heating_fuel,cooling_system,parking,parking_spaces,architecture_type,stories,exterior,roof,price
36 Chapman St,https://www.trulia.com/p/pa/pittsburgh/36-chapman-st-pittsburgh-pa-15205--2014057862,4,2,"2,376","['Last Sold: Sep 12, 2019', '158% below list $150K']",0,0,0,0,0,Multi Family,"6,000 sqft",1910,10,Other,,Central,,,,2,,Shake Shingle,58000
3100 Vernon Ave,https://www.trulia.com/p/pa/pittsburgh/3100-vernon-ave-pittsburgh-pa-15227--2014210382,2,1,986,"['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,"3,257 sqft",1940,5,Other,,,Attached Garage,1,,2,Brick,Shake Shingle,129900
123 Westwood Ave,https://www.trulia.com/p/pa/pittsburgh/123-westwood-ave-pittsburgh-pa-15209--2014084557,3,1,"1,120","['Last Sold: Sep 12, 2019', '6% below list $160K']",0,0,0,0,0,Single Family Home,"7,250 sqft",1933,6,Other,Gas,,Detached Garage,,,2,,Asphalt,150500
204 Holiday Park Dr,https://www.trulia.com/p/pa/pittsburgh/204-holiday-park-dr-pittsburgh-pa-15239--2014292577,3,1,888,"['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,"8,650 sqft",1960,6,Other,,Central,Attached Garage,1,Ranch,1,,Shake Shingle,115000
820 Berwin Ave,https://www.trulia.com/p/pa/pittsburgh/820-berwin-ave-pittsburgh-pa-15226--2014204708,2,1,"1,100","['Last Sold: Sep 12, 2019', '9% below list $110K']",0,1,0,0,1,Single Family Home,"4,275 sqft",1950,5,Other,Gas,Central,Attached Garage,1,Colonial,1,Brick,Composition,101000
2013 Mount Troy Rd,https://www.trulia.com/p/pa/pittsburgh/2013-mount-troy-rd-pittsburgh-pa-15212--2014113346,4,1,"1,416","['Last Sold: Sep 12, 2019', '3% below list $315K']",0,0,0,0,0,Single Family Home,"2,933 sqft",1930,7,Other,,,,2,,2,,Shake Shingle,305000
1556 W Ingomar Rd,https://www.trulia.com/p/pa/pittsburgh/1556-w-ingomar-rd-pittsburgh-pa-15237--2089366529,3,1,"1,464","['Last Sold: Sep 12, 2019', '5% below list $200K']",1,1,0,0,1,Single Family Home,0.62 acres,1950,6,Other,Gas,,Detached Garage,,Colonial,2,,Asphalt,190000
811 Bayridge Ave,https://www.trulia.com/p/pa/pittsburgh/811-bayridge-ave-pittsburgh-pa-15226--2014204631,4,1,"1,901","['Last Sold: Sep 12, 2019', '0% over list $235K']",1,1,0,0,1,Single Family Home,"3,600 sqft",1920,8,Other,Gas,,,2,,2,Brick,Composition,235100
1111 Marlane Dr,https://www.trulia.com/p/pa/pittsburgh/1111-marlane-dr-pittsburgh-pa-15227--2014205770,3,2,"1,386","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,"7,700 sqft",1956,5,Other,,,Attached Garage,2,Ranch,1,Brick,Shake Shingle,179900
136 McAlister Dr,https://www.trulia.com/p/pa/pittsburgh/136-mcalister-dr-pittsburgh-pa-15235--2014241930,3,1,"1,141","['Last Sold: Sep 12, 2019', '1% below list $110K']",0,0,0,0,0,Single Family Home,0.26 acres,1964,7,Other,,Central,Attached Garage,2,Ranch,1,Brick,Shake Shingle,109000
5416 Wolfe Dr,https://www.trulia.com/p/pa/pittsburgh/5416-wolfe-dr-pittsburgh-pa-15236--2014264425,3,1,"1,068","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,,1957,,Central,,,Attached Garage,1,,1,Brick,Shingle (Not Wood),152000
123 Shadow Ridge Dr,https://www.trulia.com/p/pa/pittsburgh/123-shadow-ridge-dr-pittsburgh-pa-15238--2014285623,2,2,"2,964","['Last Sold: Sep 12, 2019', '5% below list $289K']",0,0,0,0,0,Townhouse,"3,714 sqft",1987,7,Other,,Central,Attached Garage,2,,2,Stone,Shake Shingle,275000
532 Rainier Dr,https://www.trulia.com/p/pa/pittsburgh/532-rainier-dr-pittsburgh-pa-15239--2014296291,4,1,"1,664","['Last Sold: Sep 12, 2019', '7% below list $197K']",0,0,0,0,0,Single Family Home,"8,215 sqft",1969,8,Other,,Central,Attached Garage,1,Colonial,2,Brick,Shake Shingle,184000
210 Elrose Dr,https://www.trulia.com/p/pa/pittsburgh/210-elrose-dr-pittsburgh-pa-15237--2014273869,3,1,"1,766","['Last Sold: Sep 12, 2019', '2% below list $270K']",0,0,0,0,0,Single Family Home,0.3 acres,1965,7,Other,,Central,Attached Garage,2,,1,Brick,Shake Shingle,265000
4047 Brandon Rd,https://www.trulia.com/p/pa/pittsburgh/4047-brandon-rd-pittsburgh-pa-15212--2014117549,2,1,"1,296","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,,1930,,Central,,,Attached Garage,1,,2,Masonry,Shingle (Not Wood),76000
121 Nottingham Dr,https://www.trulia.com/p/pa/pittsburgh/121-nottingham-dr-pittsburgh-pa-15205--2014052883,4,2,"2,310","['Last Sold: Sep 12, 2019', '5% below list $400K']",0,0,0,0,0,Single Family Home,0.41 acres,2006,8,Other,,Central,Attached Garage,2,Colonial,2,,Shake Shingle,380250
1110 S Negley Ave,https://www.trulia.com/p/pa/pittsburgh/1110-s-negley-ave-pittsburgh-pa-15217--2089361321,7,3,"5,369","['Last Sold: Sep 12, 2019', '456% below list $1M']",0,0,0,0,0,Single Family Home,0.3 acres,1930,,Gas,,,,,Colonial,,,,180000
133 Spruce Ct,https://www.trulia.com/p/pa/pittsburgh/133-spruce-ct-pittsburgh-pa-15229--2014224151,2,1,"1,100","['Last Sold: Sep 12, 2019', '0% over list $165K']",0,0,0,0,0,Townhouse,"1,655 sqft",1984,4,Other,,Central,Attached Garage,1,Colonial,2,,,165000
1317 Sandusky St,https://www.trulia.com/p/pa/pittsburgh/1317-sandusky-st-pittsburgh-pa-15212--1141043965,3,2,"1,704","['Last Sold: Sep 12, 2019', '0% over list $255K']",0,0,0,0,0,Townhouse,"1,031 sqft",1900,6,Other,,Central,,,,2,Brick,Shake Shingle,256000
838 Highland Ave,https://www.trulia.com/p/pa/pittsburgh/838-highland-ave-pittsburgh-pa-15215--2014136382,3,1,"1,163","['Last Sold: Sep 12, 2019', '1% below list $165K']",1,1,0,0,1,Single Family Home,"5,375 sqft",1950,7,Forced Air,Gas,,Attached Garage,1,CapeCod,1,,Asphalt,164000
1043 Hastie Rd,https://www.trulia.com/p/pa/pittsburgh/1043-hastie-rd-pittsburgh-pa-15234--2014232738,2,1,"1,099","['Last Sold: Sep 12, 2019', '9% below list $155K']",0,0,1,1,0,Single Family Home,"6,273 sqft",1950,,Forced Air,Gas,Central,"Off Street, Attached Garage",,,,,,142000
115 Dunbar Ave,https://www.trulia.com/p/pa/pittsburgh/115-dunbar-ave-pittsburgh-pa-15202--1005646007,3,2,"1,914","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,"4,033 sqft",1901,6,Other,,,,2,Colonial,2,,,165000
201 Montclair Ave,https://www.trulia.com/p/pa/pittsburgh/201-montclair-ave-pittsburgh-pa-15229--2014225281,2,1,"1,788","['Last Sold: Sep 12, 2019', '2% below list $275K']",1,1,1,1,1,Single Family Home,"6,097 sqft",1940,8,Forced Air,Gas,Central,Attached Garage,1,Colonial,1,Stone,Slate,270000
655 Horning Rd,https://www.trulia.com/p/pa/pittsburgh/655-horning-rd-pittsburgh-pa-15236--1005663522,0,1,"1,335","['Last Sold: Sep 12, 2019', '6% below list $120K']",0,0,0,0,0,Single Family Home,0.68 acres,1845,,Forced Air,Gas,Central,,,,,,,113500
5488 Hays St,https://www.trulia.com/p/pa/pittsburgh/5488-hays-st-pittsburgh-pa-15206--1005349663,2,1,"1,048","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Townhouse,"1,216 sqft",1935,5,Other,,,,,,2,Brick,,149900
366 Vanadium Rd,https://www.trulia.com/p/pa/pittsburgh/366-vanadium-rd-pittsburgh-pa-15243--2014309344,2,1,"1,276","['Last Sold: Sep 12, 2019', '4% below list $185K']",0,0,0,0,0,Single Family Home,"8,443 sqft",1944,,Forced Air,Gas,Central,,,Tudor,,,,178000
3156 Shadeland Ave,https://www.trulia.com/p/pa/pittsburgh/3156-shadeland-ave-pittsburgh-pa-15212--2014115531,3,1,"1,473","['Last Sold: Sep 12, 2019', '9% below list $70K']",0,0,0,0,0,Single Family Home,"5,400 sqft",1900,,Forced Air,Gas,Central,,,,,,,64000
185 Columbia Dr,https://www.trulia.com/p/pa/pittsburgh/185-columbia-dr-pittsburgh-pa-15236--2014257077,3,1,"1,201","['Last Sold: Sep 12, 2019', '3% over list $160K']",0,0,0,0,0,Single Family Home,"5,946 sqft",1941,7,Other,,Central,Attached Garage,1,Colonial,2,Brick,Slate,165201
833 Ridgefield Ave,https://www.trulia.com/p/pa/pittsburgh/833-ridgefield-ave-pittsburgh-pa-15216--2014145622,4,1,"2,552","['Last Sold: Sep 12, 2019', '1% below list $455K']",0,0,0,0,0,Single Family Home,0.4 acres,1977,8,Other,,Central,Attached Garage,2,Colonial,2,Brick,Shake Shingle,450000
1464 Kelton Ave,https://www.trulia.com/p/pa/pittsburgh/1464-kelton-ave-pittsburgh-pa-15216--2014139437,2,1,"1,650","['Last Sold: Sep 12, 2019', '']",0,0,0,0,0,Single Family Home,"3,000 sqft",1913,6,Forced Air,Gas,,Off Street,3,Colonial,2,Brick,Composition,239900
6838 Alcoma Dr,https://www.trulia.com/p/pa/pittsburgh/6838-alcoma-dr-pittsburgh-pa-15235--2014252498,3,2,"1,480","['Last Sold: Sep 12, 2019', '2% over list $130K']",0,0,0,0,0,Single Family Home,"6,000 sqft",1955,7,Other,,Central,Attached Garage,1,Colonial,2,Brick,Shake Shingle,133000
565 Lucia Rd,https://www.trulia.com/p/pa/pittsburgh/565-lucia-rd-pittsburgh-pa-15221--1005961206,3,1,"1,423","['Last Sold: Sep 12, 2019', '22% below list $99.9K']",0,0,0,0,0,Single Family Home,"8,062 sqft",1955,,,,,,,,,,,82000
484 Diablo Dr,https://www.trulia.com/p/pa/pittsburgh/484-diablo-dr-pittsburgh-pa-15241--2014306069,4,2,"2,487","['Last Sold: Sep 12, 2019', '22% below list $350K']",0,0,0,0,0,Single Family Home,0.54 acres,1974,,Forced Air,Gas,Central,,,Colonial,,,,288000
521 Indus St,https://www.trulia.com/p/pa/pittsburgh/521-indus-st-pittsburgh-pa-15207--2014076166,3,1,"1,560","['Last Sold: Sep 12, 2019', '5% below list $330K']",0,0,0,0,0,Single Family Home,"9,800 sqft",1980,,Forced Air,Gas,Central,,,Contemporary,,,,315000
5545 Forbes Ave #G,https://www.trulia.com/p/pa/pittsburgh/5545-forbes-ave-g-pittsburgh-pa-15217--2014151138,3,2,"1,404","['Last Sold: Sep 12, 2019', '8% below list $325K']",0,0,0,0,0,Condo,"1,610 sqft",1975,,Forced Air,Electric,Central,,,Contemporary,,,,300000
224 Teece Ave,https://www.trulia.com/p/pa/pittsburgh/224-teece-ave-pittsburgh-pa-15202--2014039905,4,2,"1,620","['Last Sold: Sep 11, 2019', '10% below list $160K']",0,0,0,0,0,Multi Family,"5,431 sqft",1950,8,Other,,Central,,,,2,Brick,Shake Shingle,145000
118 Kaufmann Ave,https://www.trulia.com/p/pa/pittsburgh/118-kaufmann-ave-pittsburgh-pa-15227--2196347108,3,1,"1,100","['Last Sold: Sep 11, 2019', '4% below list $130K']",1,1,0,0,1,Single Family Home,"4,800 sqft",1952,6,Forced Air,Gas,Central,Attached Garage,1,Colonial,2,Brick,Asphalt,125000
50 Rose Leaf Rd,https://www.trulia.com/p/pa/pittsburgh/50-rose-leaf-rd-pittsburgh-pa-15220--2014173597,4,2,"1,904","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Single Family Home,"8,914 sqft",1963,7,Other,,Central,Attached Garage,2,Colonial,2,Brick,Shake Shingle,264900
153 Kilmer St,https://www.trulia.com/p/pa/pittsburgh/153-kilmer-st-pittsburgh-pa-15221--2014179237,3,1,"1,320","['Last Sold: Sep 11, 2019', '10% below list $110K']",0,0,0,0,0,Single Family Home,"5,280 sqft",1956,6,Other,,,Attached Garage,1,Ranch,1,Brick,Shake Shingle,100000
108 Walnut Ridge Dr,https://www.trulia.com/p/pa/pittsburgh/108-walnut-ridge-dr-pittsburgh-pa-15238--2014284958,4,2,"3,443","['Last Sold: Sep 11, 2019', '7% below list $455K']",0,0,0,0,0,Single Family Home,0.53 acres,1970,8,Other,,Central,,,Colonial,2,,Shake Shingle,425000
1472 Loretta Dr,https://www.trulia.com/p/pa/pittsburgh/1472-loretta-dr-pittsburgh-pa-15235--2014242492,3,1,"1,412","['Last Sold: Sep 11, 2019', '1% below list $134K']",0,0,0,0,0,Single Family Home,0.34 acres,1968,6,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,133000
4714 McKee Dr,https://www.trulia.com/p/pa/pittsburgh/4714-mckee-dr-pittsburgh-pa-15236--2014261160,3,1,"1,056","['Last Sold: Sep 11, 2019', '3% over list $172K']",0,0,0,0,0,Single Family Home,"7,800 sqft",1941,7,Other,,Central,Attached Garage,1,Bungalow,1,Brick,Shake Shingle,177500
168 Conneaut Dr,https://www.trulia.com/p/pa/pittsburgh/168-conneaut-dr-pittsburgh-pa-15239--2014292085,3,1,"1,544","['Last Sold: Sep 11, 2019', '2% over list $200K']",0,0,0,0,0,Single Family Home,"9,657 sqft",1967,7,Other,,Central,Attached Garage,2,SplitLevel,1,Stone,Shake Shingle,204600
1466 Crafton Blvd,https://www.trulia.com/p/pa/pittsburgh/1466-crafton-blvd-pittsburgh-pa-15205--1041964378,5,2,"2,787","['Last Sold: Sep 11, 2019', '2% below list $270K']",0,0,0,0,0,Single Family Home,"10,010 sqft",1900,,Forced Air,Gas,Central,,,,,,,265000
354 Lamont Pl,https://www.trulia.com/p/pa/pittsburgh/354-lamont-pl-pittsburgh-pa-15232--2163169459,3,1,"1,036","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Single Family Home,,1900,,Central,,,,,,2,Other,Shingle (Not Wood),262000
438 Valleyview Dr,https://www.trulia.com/p/pa/pittsburgh/438-valleyview-dr-pittsburgh-pa-15215--2197560714,3,2,"1,544","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Single Family Home,,1956,,Central,,,Attached Garage,1,,2,Brick,Shingle (Not Wood),150000
340 Orchard Spring Rd,https://www.trulia.com/p/pa/pittsburgh/340-orchard-spring-rd-pittsburgh-pa-15220--2014173103,3,1,"1,218","['Last Sold: Sep 11, 2019', '0% below list $230K']",0,0,0,0,0,Single Family Home,0.3 acres,1954,5,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,229400
449 Dover Dr,https://www.trulia.com/p/pa/pittsburgh/449-dover-dr-pittsburgh-pa-15238--2014288682,3,2,"2,172","['Last Sold: Sep 11, 2019', '2% below list $265K']",1,1,1,1,1,Townhouse,"6,496 sqft",1986,7,Other,,Central,Attached Garage,2,Tudor,2,Brick Stone Stucco Wood,Shake Shingle,260000
5153 Elmwood Dr,https://www.trulia.com/p/pa/pittsburgh/5153-elmwood-dr-pittsburgh-pa-15227--1002632465,4,2,"1,424","['Last Sold: Sep 11, 2019', '24% over list $145K']",0,0,0,0,0,Single Family Home,"10,500 sqft",1972,,,,,,,,,,,190000
5131 Delford St,https://www.trulia.com/p/pa/pittsburgh/5131-delford-st-pittsburgh-pa-15207--2014075920,2,2,"1,786","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Single Family Home,,1924,,Central,,,,,,2,Other,Shingle (Not Wood),30870
4821 Barone Dr,https://www.trulia.com/p/pa/pittsburgh/4821-barone-dr-pittsburgh-pa-15227--2014214399,3,2,"1,654","['Last Sold: Sep 11, 2019', '5% below list $295K']",1,1,1,1,1,Single Family Home,0.38 acres,1958,7,Forced Air,Gas,Central,Attached Garage,2,SplitLevel,1,Brick,Shake Shingle,280000
126 Dunlap St,https://www.trulia.com/p/pa/pittsburgh/126-dunlap-st-pittsburgh-pa-15214--1043842477,3,1,"2,145","['Last Sold: Sep 11, 2019', '8% below list $180K']",1,1,1,0,1,Single Family Home,"3,000 sqft",1920,6,Forced Air,,Central,,,,3,Brick,Slate,166500
4433 Schenley Farms Ter,https://www.trulia.com/p/pa/pittsburgh/4433-schenley-farms-ter-pittsburgh-pa-15213--2014123721,3,2,"1,935","['Last Sold: Sep 11, 2019', '27% below list $350K']",0,0,0,0,0,Single Family Home,"6,450 sqft",1923,,Forced Air,Gas,Central,,,French,,,,275000
104 Point Vue Dr,https://www.trulia.com/p/pa/pittsburgh/104-point-vue-dr-pittsburgh-pa-15237--2014267532,3,1,"1,848","['Last Sold: Sep 11, 2019', '4% below list $300K']",0,0,0,0,0,Single Family Home,0.26 acres,1964,,Forced Air,Gas,Central,,,Colonial,,,,287500
2053 Spring Hill Rd,https://www.trulia.com/p/pa/pittsburgh/2053-spring-hill-rd-pittsburgh-pa-15243--2014309001,3,1,"1,456","['Last Sold: Sep 11, 2019', '2% below list $210K']",0,0,0,0,0,Single Family Home,"6,600 sqft",1957,6,Other,,Central,Attached Garage,1,Colonial,2,Brick,Shake Shingle,206000
227 S Home Ave #203,https://www.trulia.com/p/pa/pittsburgh/227-s-home-ave-203-pittsburgh-pa-15202--2089351630,2,2,"1,215","['Last Sold: Sep 11, 2019', '3% over list $73K']",1,1,1,1,1,Condo,"1,215 sqft",1975,4,Forced Air,Electric,Central,"Carport, Off Street",1,,1,Brick,Built Up,75000
431 Natchez St,https://www.trulia.com/p/pa/pittsburgh/431-natchez-st-pittsburgh-pa-15211--1118805430,4,2,"1,535","['Last Sold: Sep 11, 2019', '3% below list $207K']",0,0,0,0,0,Single Family Home,"2,300 sqft",1900,,,,,,,,,,,200000
319 Suncrest St,https://www.trulia.com/p/pa/pittsburgh/319-suncrest-st-pittsburgh-pa-15210--2014096873,3,1,"2,138","['Last Sold: Sep 11, 2019', '25% below list $39.9K']",0,0,0,0,0,Single Family Home,"4,230 sqft",1900,6,Other,,,,1,,,Brick,Shake Shingle,32000
9002 Oak St,https://www.trulia.com/p/pa/pittsburgh/9002-oak-st-pittsburgh-pa-15239--2014298515,3,1,"1,185","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Single Family Home,"8,883 sqft",1920,,Forced Air,Gas,Central,,,,,,,85000
1626 Red Mill Dr,https://www.trulia.com/p/pa/pittsburgh/1626-red-mill-dr-pittsburgh-pa-15241--2014301392,3,2,"1,792","['Last Sold: Sep 11, 2019', '4% over list $300K']",1,1,1,1,1,Single Family Home,0.32 acres,1971,8,Other,,Central,Attached Garage,2,Colonial,2,,Composition,310850
991 Illinois Ave,https://www.trulia.com/p/pa/pittsburgh/991-illinois-ave-pittsburgh-pa-15221--2014188967,2,1,750,"['Last Sold: Sep 11, 2019', '6% below list $69.9K']",0,0,0,0,0,Single Family Home,"7,500 sqft",1950,5,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,66000
135 Van Wyck Ave,https://www.trulia.com/p/pa/pittsburgh/135-van-wyck-ave-pittsburgh-pa-15227--2014206767,3,2,"1,650","['Last Sold: Sep 11, 2019', '1% below list $139K']",0,0,0,0,0,Single Family Home,"5,400 sqft",1900,,Forced Air,Gas,Central,,,Colonial,,,,136900
5030 5th Ave #212,https://www.trulia.com/p/pa/pittsburgh/5030-5th-ave-212-pittsburgh-pa-15232--2014228822,2,1,"1,223","['Last Sold: Sep 11, 2019', '']",0,0,0,0,0,Condo,"1,235 sqft",1970,,Forced Air,Gas,Central,,,Contemporary,,,,310000
215 Woodbridge Dr,https://www.trulia.com/p/pa/pittsburgh/215-woodbridge-dr-pittsburgh-pa-15237--2014274099,2,1,"1,188","['Last Sold: Sep 11, 2019', '15% below list $150K']",0,0,0,0,0,Condo,"1,254 sqft",1973,,Forced Air,Electric,Central,,,Colonial,,,,130000
534 Willard Ave,https://www.trulia.com/p/pa/pittsburgh/534-willard-ave-pittsburgh-pa-15205--2014059119,4,1,"1,832","['Last Sold: Sep 11, 2019', '3% over list $210K']",1,1,0,0,1,Single Family Home,"7,500 sqft",1915,7,Forced Air,Gas,Central,Detached Garage,2,Colonial,2,Metal,,216000
428 Portia Dr,https://www.trulia.com/p/pa/pittsburgh/428-portia-dr-pittsburgh-pa-15236--2014260130,3,1,940,"['Last Sold: Sep 10, 2019', '2% below list $155K']",0,0,0,0,0,Single Family Home,"6,500 sqft",1955,6,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,152000
1228 Beechwood Blvd,https://www.trulia.com/p/pa/pittsburgh/1228-beechwood-blvd-pittsburgh-pa-15206--2014062163,4,3,"3,923","['Last Sold: Sep 10, 2019', '415% below list $799K']",0,0,0,0,0,Single Family Home,0.29 acres,1965,,,,,,,,,,,155000
1301 Chartwell Dr,https://www.trulia.com/p/pa/pittsburgh/1301-chartwell-dr-pittsburgh-pa-15241--2014300096,4,2,"2,320","['Last Sold: Sep 10, 2019', '4% below list $350K']",0,0,0,0,0,Single Family Home,0.38 acres,1974,8,Other,,Central,Attached Garage,2,Colonial,2,Stone,Shake Shingle,335000
533 Haverhill Rd,https://www.trulia.com/p/pa/pittsburgh/533-haverhill-rd-pittsburgh-pa-15228--2014220967,2,1,930,"['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Single Family Home,,1948,,Central,,,Attached Garage,1,,1,Brick,Shingle (Not Wood),35000
1505 Eleanor St,https://www.trulia.com/p/pa/pittsburgh/1505-eleanor-st-pittsburgh-pa-15210--2014091181,3,1,"1,408","['Last Sold: Sep 10, 2019', '4% over list $99.9K']",0,0,0,0,0,Single Family Home,"2,682 sqft",1915,6,Other,,Central,,,,2,,Shake Shingle,104000
4837 Oakridge Dr,https://www.trulia.com/p/pa/pittsburgh/4837-oakridge-dr-pittsburgh-pa-15227--2014214447,3,1,"1,560","['Last Sold: Sep 10, 2019', '']",1,0,0,0,1,Single Family Home,"9,000 sqft",1955,8,Forced Air,Gas,Central,Attached Garage,2,Colonial,2,,Asphalt,197000
114 Maple Ter,https://www.trulia.com/p/pa/pittsburgh/114-maple-ter-pittsburgh-pa-15211--2014101779,4,2,"2,944","['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Multi Family,,1900,,Central,,,,,,2,Other,Shingle (Not Wood),255000
442 Boggs Ave,https://www.trulia.com/p/pa/pittsburgh/442-boggs-ave-pittsburgh-pa-15211--2014105263,3,1,"1,224","['Last Sold: Sep 10, 2019', '2% below list $215K']",1,1,0,0,1,Single Family Home,"3,802 sqft",1946,,,Gas,,,,,2,,Composition,210000
3210 Broadway Ave,https://www.trulia.com/p/pa/pittsburgh/3210-broadway-ave-pittsburgh-pa-15234--2014235122,2,1,"1,125","['Last Sold: Sep 10, 2019', '5% over list $129K']",1,1,1,1,1,Single Family Home,"5,250 sqft",1930,5,Forced Air,Gas,Central,Off Street,2,CapeCod,1,,Asphalt,136000
4017 Edge Rd,https://www.trulia.com/p/pa/pittsburgh/4017-edge-rd-pittsburgh-pa-15227--2014213219,3,1,"1,696","['Last Sold: Sep 10, 2019', '11% below list $240K']",1,1,0,0,1,Single Family Home,"7,380 sqft",1957,6,Other,Gas,Central,Attached Garage,2,Ranch,,Brick,Asphalt,216000
45 Home Ave,https://www.trulia.com/p/pa/pittsburgh/45-home-ave-pittsburgh-pa-15205--2014058520,3,1,"1,304","['Last Sold: Sep 10, 2019', '3% below list $133K']",0,0,0,0,0,Single Family Home,"8,250 sqft",1920,6,Other,,Central,,,,2,Stone,Shake Shingle,128500
218 Oak Ln,https://www.trulia.com/p/pa/pittsburgh/218-oak-ln-pittsburgh-pa-15225--2014198599,3,2,864,"['Last Sold: Sep 10, 2019', '9% below list $140K']",0,0,0,0,0,Single Family Home,"5,000 sqft",1953,6,Other,,Central,Attached Garage,1,Ranch,1,,Shake Shingle,128000
141 E Bruceton Rd,https://www.trulia.com/p/pa/pittsburgh/141-e-bruceton-rd-pittsburgh-pa-15236--2089366086,3,1,"1,457","['Last Sold: Sep 10, 2019', '4% below list $185K']",0,0,0,0,0,Single Family Home,"7,431 sqft",1943,6,Other,,Central,Attached Garage,1,,2,Brick,Shake Shingle,177000
511 Behring St,https://www.trulia.com/p/pa/pittsburgh/511-behring-st-pittsburgh-pa-15203--2123661162,2,1,"1,156","['Last Sold: Sep 10, 2019', '35% below list $95K']",0,0,0,0,0,Multi Family,"6,252 sqft",1900,,,,,,,,,,,70400
836 Crucible St,https://www.trulia.com/p/pa/pittsburgh/836-crucible-st-pittsburgh-pa-15220--2014174737,3,1,"2,280","['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Single Family Home,,1900,,Central,,,,,,3,Other,Shingle (Not Wood),77000
104 Mitchell Dr,https://www.trulia.com/p/pa/pittsburgh/104-mitchell-dr-pittsburgh-pa-15241--2014299186,2,1,969,"['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Single Family Home,"8,173 sqft",1950,5,Other,,Central,Attached Garage,1,Ranch,1,Brick,Shake Shingle,185000
1733 Main St,https://www.trulia.com/p/pa/pittsburgh/1733-main-st-pittsburgh-pa-15215--2014133282,2,1,"1,124","['Last Sold: Sep 10, 2019', '3% over list $110K']",0,0,0,0,0,Single Family Home,"2,022 sqft",1925,,Forced Air,Gas,Central,,,Colonial,,,,113300
212 N Jackson Ave,https://www.trulia.com/p/pa/pittsburgh/212-n-jackson-ave-pittsburgh-pa-15202--1150590408,3,1,"1,260","['Last Sold: Sep 10, 2019', '9% below list $135K']",0,0,0,0,0,Single Family Home,"3,365 sqft",1930,6,Forced Air,Gas,,,,Colonial,2,Brick,Shake Shingle,124000
5 Bayard Rd #502,https://www.trulia.com/p/pa/pittsburgh/5-bayard-rd-502-pittsburgh-pa-15213--2014124457,0,1,709,"['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Condo,709 sqft,1969,,Forced Air,Gas,Central,,,Contemporary,,,,159900
367 Barclay Ave,https://www.trulia.com/p/pa/pittsburgh/367-barclay-ave-pittsburgh-pa-15221--2014183274,3,2,"1,536","['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Single Family Home,"8,738 sqft",1956,,Forced Air,Gas,Central,,,Colonial,,,,184900
4783 Doyle Rd,https://www.trulia.com/p/pa/pittsburgh/4783-doyle-rd-pittsburgh-pa-15227--2014214288,4,1,"1,578","['Last Sold: Sep 10, 2019', '13% over list $143K']",0,0,0,0,0,Single Family Home,0.31 acres,1940,7,,,,,,,2,,,165000
2029 Termon Ave,https://www.trulia.com/p/pa/pittsburgh/2029-termon-ave-pittsburgh-pa-15212--1013627844,3,1,"2,080","['Last Sold: Sep 10, 2019', '14% below list $140K']",0,0,0,0,0,Townhouse,"3,060 sqft",1913,6,Other,,,,,,2,Brick,Shake Shingle,123000
3133 Broadway Ave,https://www.trulia.com/p/pa/pittsburgh/3133-broadway-ave-pittsburgh-pa-15234--1118152130,2,1,816,"['Last Sold: Sep 10, 2019', '0% over list $115K']",1,0,1,0,1,Single Family Home,"3,500 sqft",1955,4,Forced Air,,Central,Attached Garage,2,Ranch,1,,Shake Shingle,115000
348 Birch Ave,https://www.trulia.com/p/pa/pittsburgh/348-birch-ave-pittsburgh-pa-15228--2014219707,2,1,"1,040","['Last Sold: Sep 10, 2019', '3% below list $175K']",1,0,0,0,1,Single Family Home,"5,500 sqft",1938,4,Forced Air,Gas,Central,Attached Garage,,Colonial,2,Brick,Slate,170000
137 Villa Dr,https://www.trulia.com/p/pa/pittsburgh/137-villa-dr-pittsburgh-pa-15214--2014125675,3,2,"1,416","['Last Sold: Sep 10, 2019', '']",0,0,0,0,0,Townhouse,"5,802 sqft",1994,6,Other,Gas,Central,Attached Garage,1,Colonial,2,Stone,Asphalt,185000
